ID	Sex	Ci
2140	1	8
2141	1	8
2142	3	7
2143	1	9
2144	2	7
2145	1	7
2146	2	7
2147	1	7
2148	1	7
2149	1	7
2150	2	7
2151	2	7
2152	1	7
2153	2	7
2154	2	7
2155	2	7
2156	1	7
2157	1	7
2158	1	6
2159	2	7
2160	3	7
2161	1	9
2162	2	7
2163	1	8
2164	1	7
2165	1	7
2166	3	7
2167	1	7
2168	2	6
2169	1	7
2170	1	7
2171	1	7
2172	2	8
2173	2	7
2174	1	8
2175	1	8
2176	1	8
2177	1	8
2178	1	7
2179	2	10
2180	1	8
2181	1	8
2182	1	7
2183	1	7
2184	1	9
2185	1	7
2186	1	8
2187	1	9
2188	2	7
2189	1	8
2190	1	8
2191	1	7
2192	1	7
2193	2	7
2194	1	8
2195	1	9
2196	1	9
2197	2	8
2198	1	8
2199	1	9
2200	1	9
2201	3	9
2202	1	9
2203	2	7
2204	1	8
2205	1	8
2206	1	9
2207	1	8
2208	2	8
2209	2	8
2210	3	8
2211	3	8
2212	1	7
2213	1	9
2214	1	8
2215	1	9
2216	1	9
2217	2	8
2218	1	9
2219	1	8
2220	2	7
2221	2	8
2222	1	9
2223	2	8
2224	2	7
2225	1	8
2226	1	8
2227	2	8
2228	1	8
2229	1	8
2230	2	8
2231	1	8
2232	2	8
2233	1	8
2234	2	8
2235	1	8
2236	1	8
2237	1	8
2238	2	8
2239	2	8
2240	1	9
2241	2	8
2242	1	8
2243	1	9
2244	2	8
2245	1	8
2246	1	8
2247	2	8
2248	2	6
2249	1	8
2250	2	8
2251	1	8
2252	1	8
2253	1	7
2254	1	7
2255	1	7
2256	1	9
2257	1	9
2258	1	8
2259	1	7
2260	1	8
2261	1	8
2262	1	8
2263	1	9
2264	1	7
2265	1	9
2266	1	9
2267	1	8
2268	1	8
2269	2	8
2270	1	8
2271	2	8
2272	1	9
2273	1	9
2274	1	8
2275	1	8
2276	1	8
2277	1	8
2278	1	8
2279	2	9
2280	2	8
2281	2	8
2282	1	9
2283	1	9
2284	2	8
2285	2	8
2286	3	7
2287	1	9
2288	2	8
2289	2	9
2290	1	9
2291	1	8
2292	1	9
2293	1	8
2294	2	8
2295	1	8
2296	1	9
2297	1	9
2298	1	9
2299	1	9
2300	1	9
2301	1	8
2302	2	8
2303	1	8
2304	1	8
2305	1	9
2306	2	8
2307	1	9
2308	1	8
2309	1	9
2310	1	8
2311	2	8
2312	1	8
2313	1	8
2314	1	8
2315	2	8
2316	1	8
2317	1	9
2318	1	9
2319	1	9
2320	2	7
2321	1	9
2322	2	7
2323	2	8
2324	1	8
2325	1	8
2326	1	9
2327	1	9
2328	2	8
2329	1	8
2330	1	8
2331	3	9
2332	2	8
2333	1	9
2334	1	9
2335	1	7
2336	1	8
2337	1	9
2338	1	8
2339	1	8
2340	1	9
2341	2	8
2342	1	9
2343	1	9
2344	1	9
2345	1	8
2346	1	8
2347	2	7
2348	1	8
2349	1	8
2350	2	8
2351	1	8
2352	3	9
2353	1	9
2354	1	9
2355	2	8
2356	1	9
2357	1	9
2358	1	8
2359	1	9
2360	1	9
2361	1	8
2362	3	9
2363	1	8
2364	2	8
2365	1	8
2366	1	8
2367	2	7
2368	1	9
2369	1	9
2370	1	8
2371	3	8
2372	3	8
2373	1	12
2374	2	9
2375	3	9
2376	1	9
2377	1	9
2378	3	8
2379	3	8
2380	3	8
2381	3	8
2382	1	9
2383	1	8
2384	2	9
2385	3	9
2386	3	9
2387	3	9
2388	3	9
2389	3	9
2390	3	9
2391	3	9
2392	3	9
2393	3	10
2394	3	10
2395	2	8
2396	1	9
2397	1	9
2398	2	9
2399	1	9
2400	1	9
2401	3	9
2402	3	8
2403	1	9
2404	2	9
2405	1	8
2406	3	9
2407	1	8
2408	3	9
2409	3	9
2410	3	9
2411	2	9
2412	1	9
2413	3	9
2414	2	9
2415	3	9
2416	3	9
2417	1	9
2418	1	9
2419	1	8
2420	2	8
2421	1	9
2422	2	8
2423	1	8
2424	1	9
2425	1	9
2426	1	8
2427	1	9
2428	1	8
2429	1	8
2430	1	8
2431	1	8
2432	1	8
2433	1	9
2434	1	8
2435	1	8
2436	1	9
2437	1	9
2438	1	9
2439	1	9
2440	1	10
2441	1	9
2442	1	9
2443	1	9
2444	2	9
2445	1	9
2446	1	9
2447	3	8
2448	1	9
2449	1	9
2450	2	9
2451	2	8
2452	1	8
2453	1	9
2454	1	8
2455	3	9
2456	2	9
2457	1	9
2458	2	9
2459	1	9
2460	3	9
2461	3	9
2462	1	9
2463	1	9
2464	1	9
2465	2	8
2466	2	8
2467	3	9
2468	1	9
2469	1	9
2470	1	9
2471	1	9
2472	1	9
2473	3	9
2474	1	10
2475	3	10
2476	1	9
2477	1	10
2478	3	9
2479	3	9
2480	1	8
2481	1	9
2482	2	8
2483	3	9
2484	2	8
2485	2	9
2486	1	8
2487	3	9
2488	1	9
2489	1	9
2490	1	9
2491	1	9
2492	3	9
2493	2	9
2494	1	9
2495	1	9
2496	1	9
2497	1	9
2498	2	8
2499	1	9
2500	1	9
2501	2	8
2502	1	9
2503	3	9
2504	3	9
2505	2	9
2506	1	9
2507	3	9
2508	1	9
2509	1	9
2510	1	9
2511	2	9
2512	1	9
2513	1	9
2514	1	9
2515	1	9
2516	2	9
2517	1	10
2518	1	9
2519	1	8
2520	1	9
2521	1	9
2522	1	9
2523	2	8
2524	3	9
2525	2	8
2526	1	9
2527	1	9
2528	1	8
2529	2	9
2530	1	9
2531	1	9
2532	3	10
2533	1	9
2534	1	9
2535	1	8
2536	1	8
2537	1	8
2538	2	9
2539	1	9
2540	1	9
2541	1	8
2542	2	9
2543	1	9
2544	1	9
2545	3	9
2546	3	9
2547	1	9
2548	1	9
2549	3	10
2550	1	9
2551	1	9
2552	2	9
2553	1	9
2554	1	9
2555	3	9
2556	1	8
2557	2	9
2558	3	9
2559	1	8
2560	1	8
2561	1	10
2562	2	9
2563	1	9
2564	1	10
2565	1	9
2566	2	9
2567	2	10
2568	1	9
2569	2	9
2570	1	9
2571	1	9
2572	1	9
2573	3	9
2574	3	9
2575	3	9
2576	3	9
2577	3	9
2578	1	9
2579	3	9
2580	3	9
2581	1	10
2582	2	5
2583	1	8
2584	1	10
2585	1	10
2586	3	3
2587	1	3
2588	3	3
2589	1	9
2590	1	10
2591	2	6
2592	1	10
2593	2	9
2594	1	9
2595	2	9
2596	1	9
2597	3	6
2598	2	4
2599	2	5
2600	1	9
2601	2	9
2602	2	9
2603	1	8
2604	2	4
2605	1	8
2606	2	9
2607	1	9
2608	2	6
2609	3	6
2610	1	9
2611	2	9
2612	1	9
2613	1	9
2614	1	9
2615	1	9
2616	1	10
2617	1	9
2618	1	9
2619	2	9
2620	2	6
2621	2	9
2622	1	9
2623	1	9
2624	1	9
2625	3	6
2626	3	6
2627	3	6
2628	1	6
2629	3	6
2630	3	6
2631	3	5
2632	3	6
2633	3	6
2634	3	6
2635	3	5
2636	1	9
2637	2	9
2638	1	10
2639	3	6
2640	2	8
2641	1	9
2642	1	9
2643	1	10
2644	1	9
2645	1	9
2646	1	5
2647	1	8
2648	1	8
2649	2	8
2650	1	8
2651	1	10
2652	1	10
2653	1	10
2654	1	9
2655	2	9
2656	1	9
2657	3	5
2658	3	5
2659	3	5
2660	3	5
2661	2	5
2662	3	8
2663	1	6
2664	1	9
2665	1	9
2666	1	9
2667	1	6
2668	1	6
2669	1	7
2670	1	6
2671	3	8
2672	1	9
2673	1	10
2674	1	9
2675	1	9
2676	2	8
2677	2	9
2678	3	6
2679	3	5
2680	1	6
2681	1	9
2682	2	9
2683	2	9
2684	3	4
2685	3	4
2686	3	2
2687	1	9
2688	1	9
2689	1	10
2690	3	6
2691	3	6
2692	1	9
2693	1	9
2694	1	10
2695	1	9
2696	2	10
2697	1	6
2698	3	9
2699	3	9
2700	1	9
2701	1	9
2702	2	9
2703	1	9
2704	1	10
2705	2	8
2706	1	9
2707	3	10
2708	1	10
2709	3	9
2710	1	9
2711	3	5
2712	1	8
2713	1	9
2714	1	10
2715	3	10
2716	3	10
2717	1	7
2718	1	10
2719	3	10
2720	3	10
2721	3	10
2722	3	10
2723	3	6
2724	3	6
2725	3	10
2726	3	10
2727	3	10
2728	3	10
2729	1	9
2730	3	6
2731	2	6
2732	2	9
2733	1	9
2734	1	10
2735	1	9
2736	1	9
2737	1	10
2738	1	9
2739	1	8
2740	1	6
2741	2	9
2742	1	9
2743	1	10
2744	2	9
2745	1	9
2746	1	10
2747	1	10
2748	1	9
2749	1	10
2750	1	9
2751	1	9
2752	1	9
2753	1	10
2754	3	9
2755	3	9
2756	2	9
2757	2	9
2758	1	9
2759	1	10
2760	3	6
2761	1	6
2762	1	9
2763	2	9
2764	1	9
2765	1	5
2766	1	6
2767	2	10
2768	1	9
2769	3	5
2770	3	10
2771	1	10
2772	3	10
2773	3	10
2774	3	10
2775	3	10
2776	3	10
2777	2	7
2778	1	9
2779	1	9
2780	3	6
2781	3	3
2782	1	6
2783	3	6
2784	1	9
2785	3	10
2786	3	10
2787	1	9
2788	1	10
2789	2	9
2790	2	9
2791	3	9
2792	1	10
2793	3	10
2794	3	9
2795	3	9
2796	1	9
2797	3	9
2798	3	9
2799	1	4
2800	3	6
2801	2	9
2802	3	10
2803	1	10
2804	3	9
2805	1	11
2806	1	10
2807	3	9
2808	1	9
2809	1	10
2810	3	10
2811	3	9
2812	1	7
2813	1	10
2814	3	7
2815	3	6
2816	1	6
2817	3	6
2818	3	6
2819	1	10
2820	3	10
2821	2	6
2822	3	9
2823	3	6
2824	1	9
2825	3	6
2826	3	4
2827	1	4
2828	2	6
2829	3	10
2830	3	9
2831	1	9
2832	3	10
2833	2	10
2834	3	10
2835	3	10
2836	1	10
2837	2	7
2838	1	9
2839	3	10
2840	1	9
2841	3	8
2842	1	9
2843	3	8
2844	3	9
2845	3	9
2846	1	9
2847	1	8
2848	3	9
2849	3	10
2850	3	10
2851	3	10
2852	2	9
2853	1	9
2854	2	9
2855	2	9
2856	1	9
2857	1	10
2858	2	10
2859	1	10
2860	1	9
2861	2	9
2862	2	9
2863	3	9
2864	1	10
2865	1	7
2866	1	10
2867	2	7
2868	3	9
2869	3	9
2870	1	9
2871	1	9
2872	3	4
2873	2	9
2874	1	10
2875	2	10
2876	3	10
2877	1	7
2878	1	9
2879	3	9
2880	1	10
2881	1	10
2882	3	9
2883	1	6
2884	1	9
2885	3	9
2886	1	9
2887	1	9
2888	1	10
2889	3	10
2890	3	10
2891	3	9
2892	3	9
2893	2	9
2894	3	6
2895	2	10
2896	3	10
2897	3	10
2898	3	10
2899	1	10
2900	3	9
2901	3	7
2902	1	7
2903	3	10
2904	2	9
2905	1	9
2906	1	9
2907	1	8
2908	3	9
2909	1	10
2910	3	10
2911	1	10
2912	3	10
2913	3	10
2914	3	10
2915	3	10
2916	1	10
2917	1	9
2918	2	9
2919	3	10
2920	3	10
2921	3	10
2922	3	10
2923	1	10
2924	1	10
2925	3	4
2926	3	10
2927	3	10
2928	3	11
2929	3	11
2930	3	11
2931	1	9
2932	3	9
2933	3	10
2934	3	10
2935	3	9
2936	3	9
2937	1	9
2938	3	9
2939	1	8
2940	1	10
2941	1	9
2942	2	10
2943	1	9
2944	3	7
2945	2	9
2946	1	9
2947	2	8
2948	3	5
2949	3	5
2950	1	9
2951	1	9
2952	3	10
2953	3	10
2954	3	10
2955	3	10
2956	3	6
2957	2	6
2958	2	6
2959	2	6
2960	3	10
2961	1	10
2962	1	8
2963	2	10
2964	1	10
2965	1	10
2966	1	10
2967	1	10
2968	3	10
2969	3	10
2970	3	10
2971	2	10
2972	1	10
2973	1	10
2974	3	10
2975	1	9
2976	1	10
2977	3	10
2978	3	8
2979	3	10
2980	2	9
2981	1	10
2982	1	9
2983	2	9
2984	3	10
2985	3	10
2986	3	10
2987	3	10
2988	3	10
2989	3	10
2990	3	2
2991	3	10
2992	1	10
2993	2	10
2994	1	10
2995	1	9
2996	3	10
2997	3	10
2998	3	7
2999	1	9
3000	3	10
3001	1	9
3002	3	8
3003	2	10
3004	1	10
3005	1	10
3006	1	10
3007	3	8
3008	1	9
3009	1	11
3010	3	9
3011	3	10
3012	1	10
3013	3	10
3014	1	10
3015	1	10
3016	3	10
3017	3	10
3018	3	10
3019	3	9
3020	3	9
3021	2	9
3022	1	9
3023	3	10
3024	1	12
3025	3	10
3026	2	9
3027	3	9
3028	3	9
3029	3	9
3030	3	10
3031	3	10
3032	3	10
3033	2	10
3034	1	9
3035	3	10
3036	3	9
3037	1	10
3038	3	9
3039	1	10
3040	3	10
3041	3	10
3042	1	10
3043	1	10
3044	3	10
3045	3	10
3046	3	9
3047	3	9
3048	1	10
3049	1	10
3050	2	9
3051	3	10
3052	1	10
3053	1	10
3054	3	9
3055	1	9
3056	3	9
3057	1	10
3058	1	7
3059	3	10
3060	2	10
3061	3	10
3062	3	10
3063	3	10
3064	1	10
3065	3	7
3066	3	10
3067	1	10
3068	3	9
3069	3	9
3070	2	9
3071	1	10
3072	1	9
3073	2	10
3074	3	10
3075	1	10
3076	3	10
3077	3	10
3078	3	9
3079	3	9
3080	3	10
3081	3	10
3082	3	10
3083	3	10
3084	3	9
3085	2	10
3086	3	10
3087	3	10
3088	1	10
3089	3	4
3090	1	10
3091	3	10
3092	3	10
3093	1	10
3094	3	10
3095	1	10
3096	3	9
3097	3	10
3098	1	7
3099	1	8
3100	2	9
3101	1	10
3102	1	9
3103	1	9
3104	3	9
3105	1	9
3106	1	9
3107	1	7
3108	1	7
3109	1	8
3110	3	9
3111	3	9
3112	1	9
3113	3	9
3114	3	11
3115	1	10
3116	3	10
3117	2	8
3118	1	10
3119	3	10
3120	3	10
3121	3	10
3122	1	10
3123	1	10
3124	2	10
3125	1	9
3126	1	11
3127	1	12
3128	3	4
3129	2	10
3130	2	11
3131	3	10
3132	1	8
3133	2	7
3134	2	9
3135	1	11
3136	2	10
3137	1	13
3138	1	9
3139	2	9
3140	1	11
3141	1	10
3142	3	8
3143	1	7
3144	3	9
3145	3	4
3146	3	5
3147	1	10
3148	1	10
3149	1	11
3150	3	10
3151	1	10
3152	3	11
3153	2	9
3154	3	9
3155	1	10
3156	3	10
3157	1	11
3158	2	11
3159	2	10
3160	1	10
3161	2	7
3162	1	9
3163	1	10
3164	1	10
3165	1	11
3166	1	9
3167	1	10
3168	1	5
3169	3	5
3170	2	9
3171	3	9
3172	3	11
3173	1	10
3174	1	11
3175	3	10
3176	3	10
3177	3	10
3178	2	10
3179	3	10
3180	3	10
3181	3	10
3182	1	7
3183	3	10
3184	3	10
3185	1	11
3186	1	10
3187	2	10
3188	3	10
3189	3	10
3190	1	10
3191	1	9
3192	2	7
3193	2	7
3194	2	6
3195	3	6
3196	3	5
3197	3	5
3198	2	4
3199	1	10
3200	3	10
3201	1	11
3202	3	10
3203	1	10
3204	1	10
3205	2	10
3206	3	10
3207	3	10
3208	3	10
3209	1	10
3210	3	10
3211	2	9
3212	2	10
3213	1	11
3214	2	10
3215	3	10
3216	3	10
3217	1	10
3218	3	10
3219	1	10
3220	3	10
3221	3	10
3222	2	5
3223	1	9
3224	1	7
3225	1	9
3226	3	10
3227	3	10
3228	3	10
3229	3	9
3230	3	9
3231	3	9
3232	1	10
3233	1	10
3234	3	10
3235	2	10
3236	3	10
3237	3	10
3238	3	10
3239	2	7
3240	1	9
3241	1	7
3242	2	9
3243	1	7
3244	1	9
3245	1	6
3246	1	10
3247	1	6
3248	3	10
3249	3	10
3250	3	10
3251	1	11
3252	3	10
3253	3	10
3254	1	10
3255	3	10
3256	3	10
3257	3	10
3258	3	10
3259	3	10
3260	2	10
3261	3	10
3262	3	8
3263	1	11
3264	1	11
3265	1	12
3266	2	11
3267	3	10
3268	2	10
3269	1	11
3270	2	10
3271	2	10
3272	3	10
3273	2	5
3274	2	10
3275	2	10
3276	3	10
3277	3	10
3278	3	11
3279	1	11
3280	3	10
3281	1	7
3282	1	11
3283	1	10
3284	3	10
3285	3	10
3286	1	11
3287	3	10
3288	2	10
3289	1	10
3290	1	11
3291	3	7
3292	2	10
3293	1	9
3294	1	9
3295	1	9
3296	1	9
3297	1	10
3298	3	11
3299	3	11
3300	2	10
3301	3	10
3302	1	10
3303	3	11
3304	1	11
3305	1	11
3306	1	10
3307	2	7
3308	1	8
3309	3	10
3310	2	9
3311	1	9
3312	1	10
3313	1	12
3314	1	11
3315	3	10
3316	1	11
3317	1	5
3318	1	9
3319	1	10
3320	3	10
3321	3	10
3322	3	10
3323	1	9
3324	1	10
3325	1	10
3326	3	10
3327	3	10
3328	3	10
3329	1	10
3330	1	10
3331	1	10
3332	1	11
3333	2	10
3334	1	10
3335	3	10
3336	3	10
3337	3	10
3338	3	7
3339	3	10
3340	1	10
3341	3	10
3342	3	11
3343	1	11
3344	3	10
3345	3	10
3346	3	10
3347	1	10
3348	2	11
3349	3	10
3350	2	7
3351	3	10
3352	2	10
3353	3	10
3354	1	10
3355	2	10
3356	3	10
3357	2	10
3358	3	10
3359	3	10
3360	3	10
3361	1	10
3362	1	10
3363	3	10
3364	3	10
3365	3	11
3366	3	11
3367	1	9
3368	3	10
3369	3	10
3370	3	10
3371	2	10
3372	1	10
3373	1	11
3374	3	11
3375	3	11
3376	1	10
3377	3	10
3378	3	10
3379	3	10
3380	1	10
3381	3	10
3382	1	10
3383	2	10
3384	2	10
3385	1	10
3386	2	10
3387	1	11
3388	3	11
3389	1	11
3390	2	9
3391	1	9
3392	1	11
3393	3	11
3394	1	11
3395	1	10
3396	1	11
3397	1	7
3398	1	10
3399	3	10
3400	3	10
3401	1	10
3402	1	10
3403	3	10
3404	2	9
3405	1	11
3406	1	10
3407	3	10
3408	3	10
3409	2	10
3410	1	12
3411	1	11
3412	1	10
3413	2	7
3414	1	10
3415	1	10
3416	3	10
3417	1	10
3418	1	10
3419	1	10
3420	1	11
3421	2	7
3422	1	13
3423	2	11
3424	1	11
3425	1	7
3426	2	8
3427	1	10
3428	1	11
3429	1	10
3430	3	8
3431	3	8
3432	1	11
3433	3	10
3434	2	10
3435	1	10
3436	2	10
3437	1	11
3438	1	11
3439	1	11
3440	1	11
3441	1	11
3442	3	7
3443	1	11
3444	2	10
3445	3	7
3446	3	6
3447	2	10
3448	2	10
3449	2	10
3450	1	10
3451	1	9
3452	1	10
3453	1	10
3454	1	10
3455	1	12
3456	1	10
3457	1	10
3458	1	11
3459	1	11
3460	1	10
3461	1	11
3462	1	8
3463	1	9
3464	3	10
3465	3	11
3466	3	11
3467	3	10
3468	3	10
3469	1	10
3470	2	11
3471	1	10
3472	2	10
3473	1	10
3474	1	11
3475	2	11
3476	1	13
3477	1	11
3478	1	11
3479	3	11
3480	3	11
3481	1	10
3482	3	10
3483	1	10
3484	3	8
3485	2	10
3486	1	10
3487	3	10
3488	1	11
3489	1	11
3490	3	10
3491	3	10
3492	1	10
3493	1	10
3494	1	13
3495	3	10
3496	1	10
3497	1	11
3498	3	10
3499	2	10
3500	3	10
3501	1	7
3502	1	9
3503	1	11
3504	1	10
3505	2	10
3506	1	10
3507	1	10
3508	1	10
3509	1	11
3510	1	11
3511	3	10
3512	2	12
3513	2	11
3514	2	10
3515	3	10
3516	1	10
3517	3	11
3518	1	11
3519	1	10
3520	1	11
3521	1	11
3522	3	10
3523	1	11
3524	1	10
3525	1	8
3526	2	10
3527	3	10
3528	1	10
3529	2	8
3530	1	11
3531	1	10
3532	1	10
3533	1	10
3534	3	10
3535	1	11
3536	1	11
3537	1	11
3538	1	11
3539	1	11
3540	1	11
3541	3	11
3542	1	10
3543	3	11
3544	1	13
3545	1	11
3546	1	11
3547	1	9
3548	1	10
3549	1	9
3550	1	10
3551	1	11
3552	1	10
3553	1	10
3554	1	10
3555	3	10
3556	3	10
3557	3	10
3558	3	10
3559	1	4
3560	3	8
3561	1	12
3562	3	10
3563	2	8
3564	1	10
3565	1	11
3566	1	11
3567	1	11
3568	3	8
3569	3	8
3570	1	11
3571	1	11
3572	1	10
3573	3	10
3574	1	10
3575	3	11
3576	1	11
3577	1	10
3578	1	10
3579	1	11
3580	1	10
3581	1	10
3582	1	11
3583	2	13
3584	1	11
3585	1	11
3586	1	10
3587	1	11
3588	1	11
3589	1	10
3590	2	10
3591	2	11
3592	1	10
3593	1	10
3594	2	11
3595	1	11
3596	2	11
3597	1	11
3598	2	10
3599	1	11
3600	1	6
3601	3	6
3602	3	7
3603	1	11
3604	2	12
3605	1	10
3606	3	10
3607	1	12
3608	1	10
3609	1	11
3610	1	11
3611	1	11
3612	2	11
3613	1	11
3614	1	11
3615	1	11
3616	3	7
3617	1	10
3618	1	10
3619	2	9
3620	3	9
3621	3	9
3622	3	8
3623	1	11
3624	1	11
3625	3	10
3626	3	10
3627	1	11
3628	3	10
3629	3	11
3630	1	11
3631	1	11
3632	3	13
3633	1	13
3634	1	10
3635	1	11
3636	1	11
3637	2	11
3638	3	10
3639	1	10
3640	1	11
3641	1	11
3642	1	9
3643	1	10
3644	1	11
3645	1	11
3646	3	10
3647	3	11
3648	2	11
3649	3	10
3650	1	10
3651	3	11
3652	1	11
3653	2	10
3654	3	11
3655	3	11
3656	1	11
3657	2	11
3658	1	11
3659	1	10
3660	1	10
3661	1	11
3662	1	10
3663	3	11
3664	1	11
3665	1	10
3666	3	9
3667	3	10
3668	3	11
3669	1	11
3670	2	11
3671	1	11
3672	1	10
3673	3	11
3674	1	10
3675	1	10
3676	3	11
3677	1	10
3678	1	10
3679	3	10
3680	3	6
3681	3	6
3682	1	11
3683	1	11
3684	1	11
3685	1	11
3686	1	11
3687	2	10
3688	2	10
3689	1	11
3690	1	10
3691	1	10
3692	1	11
3693	2	10
3694	1	10
3695	1	11
3696	1	12
3697	1	12
3698	1	11
3699	1	11
3700	3	11
3701	1	12
3702	3	11
3703	1	10
3704	1	10
3705	1	10
3706	2	11
3707	3	7
3708	2	7
3709	1	10
3710	2	13
3711	3	11
3712	1	11
3713	1	10
3714	2	10
3715	3	9
3716	3	9
3717	3	9
3718	3	11
3719	2	10
3720	2	9
3721	3	11
3722	1	11
3723	2	11
3724	2	11
3725	1	11
3726	1	11
3727	1	11
3728	1	12
3729	1	11
3730	2	10
3731	3	11
3732	3	11
3733	3	9
3734	3	9
3735	3	9
3736	3	11
3737	1	11
3738	1	13
3739	2	11
3740	3	10
3741	2	11
3742	1	11
3743	1	11
3744	1	11
3745	1	11
3746	1	11
3747	1	11
3748	2	11
3749	1	11
3750	1	12
3751	1	11
3752	1	10
3753	1	2
3754	1	7
3755	1	10
3756	2	10
3757	1	10
3758	1	10
3759	1	11
3760	3	11
3761	1	11
3762	1	11
3763	1	11
3764	1	11
3765	2	6
3766	1	11
3767	2	8
3768	3	11
3769	1	10
3770	2	10
3771	1	12
3772	2	11
3773	1	11
3774	1	11
3775	2	11
3776	1	11
3777	1	11
3778	1	11
3779	1	11
3780	1	11
3781	1	11
3782	1	10
3783	1	10
3784	1	11
3785	2	7
3786	2	10
3787	1	8
3788	3	8
3789	3	8
3790	3	8
3791	2	10
3792	1	10
3793	1	8
3794	1	10
3795	1	10
3796	1	10
3797	1	11
3798	1	10
3799	1	11
3800	2	11
3801	1	11
3802	1	11
3803	1	10
3804	1	12
3805	2	11
3806	2	10
3807	3	11
3808	3	7
3809	1	11
3810	1	10
3811	1	8
3812	3	8
3813	1	7
3814	1	13
3815	3	10
3816	2	11
3817	1	11
3818	1	10
3819	3	8
3820	1	11
3821	1	11
3822	1	6
3823	1	10
3824	1	10
3825	3	10
3826	2	2
3827	3	10
3828	1	10
3829	3	12
3830	1	10
3831	1	11
3832	1	10
3833	1	8
3834	1	10
3835	3	8
3836	3	8
3837	3	8
3838	2	2
3839	2	11
3840	1	10
3841	3	9
3842	1	10
3843	1	12
3844	1	12
3845	1	11
3846	2	11
3847	2	11
3848	1	8
3849	1	10
3850	1	10
3851	1	11
3852	1	12
3853	2	11
3854	1	7
3855	2	11
3856	1	11
3857	1	11
3858	1	7
3859	2	11
3860	3	11
3861	3	11
3862	1	11
3863	3	7
3864	3	8
3865	1	12
3866	3	11
3867	1	11
3868	1	8
3869	1	11
3870	1	12
3871	2	11
3872	1	11
3873	1	12
3874	3	11
3875	3	11
3876	3	10
3877	1	11
3878	1	11
3879	1	12
3880	1	11
3881	1	11
3882	2	8
3883	1	11
3884	1	11
3885	1	11
3886	2	7
3887	2	12
3888	1	11
3889	1	11
3890	1	11
3891	3	10
3892	2	11
3893	2	10
3894	2	10
3895	1	8
3896	3	11
3897	1	12
3898	1	11
3899	1	11
3900	1	9
3901	3	11
3902	1	11
3903	2	11
3904	1	10
3905	3	5
3906	3	5
3907	1	2
3908	2	8
3909	1	11
3910	1	11
3911	1	11
3912	3	10
3913	2	11
3914	1	11
3915	1	11
3916	1	11
3917	2	11
3918	1	11
3919	1	11
3920	1	11
3921	3	11
3922	2	10
3923	3	11
3924	1	11
3925	1	11
3926	1	11
3927	1	11
3928	3	12
3929	1	11
3930	1	11
3931	2	11
3932	1	12
3933	1	11
3934	1	12
3935	1	11
3936	1	12
3937	1	12
3938	1	12
3939	2	11
3940	1	11
3941	1	11
3942	1	12
3943	1	11
3944	1	12
3945	1	11
3946	1	8
3947	1	10
3948	3	12
3949	1	12
3950	1	10
3951	1	11
3952	1	10
3953	1	12
3954	1	12
3955	1	11
3956	3	11
3957	2	6
3958	2	11
3959	2	13
3960	1	12
3961	1	11
3962	3	11
3963	1	13
3964	1	11
3965	1	11
3966	1	11
3967	1	11
3968	3	11
3969	3	11
3970	1	11
3971	1	11
3972	1	11
3973	1	12
3974	1	12
3975	1	11
3976	3	11
3977	1	11
3978	1	12
3979	1	11
3980	1	13
3981	2	12
3982	3	12
3983	2	2
3984	3	11
3985	1	12
3986	1	10
3987	1	10
3988	3	11
3989	3	11
3990	3	11
3991	2	12
3992	2	12
3993	3	10
3994	3	13
3995	1	13
3996	1	11
3997	1	10
3998	1	9
3999	1	11
4000	3	11
4001	1	11
4002	1	12
4003	2	12
4004	3	12
4005	1	12
4006	1	11
4007	3	12
4008	3	8
4009	1	8
4010	2	8
4011	1	10
4012	1	10
4013	1	13
4014	3	11
4015	3	11
4016	1	11
4017	2	12
4018	1	11
4019	1	12
4020	3	11
4021	1	11
4022	1	12
4023	3	11
4024	3	11
4025	3	11
4026	1	11
4027	1	12
4028	1	11
4029	1	2
4030	1	12
4031	1	11
4032	1	12
4033	3	11
4034	3	11
4035	3	11
4036	1	11
4037	1	12
4038	1	11
4039	3	11
4040	1	12
4041	1	11
4042	3	11
4043	1	12
4044	1	12
4045	3	12
4046	3	12
4047	1	11
4048	2	11
4049	3	12
4050	1	11
4051	3	12
4052	3	11
4053	3	11
4054	3	11
4055	1	12
4056	1	12
4057	3	12
4058	3	12
4059	3	12
4060	3	11
4061	1	11
4062	3	7
4063	3	11
4064	3	12
4065	1	12
4066	1	11
4067	1	11
4068	1	12
4069	1	11
4070	3	11
4071	3	11
4072	1	11
4073	3	11
4074	3	11
4075	3	11
4076	1	12
4077	1	12
4078	3	12
4079	3	13
4080	1	9
4081	3	13
4082	1	13
4083	3	11
4084	3	11
4085	1	12
4086	3	12
4087	3	12
4088	3	12
4089	3	12
4090	1	11
4091	1	11
4092	1	11
4093	3	11
4094	1	11
4095	1	12
4096	1	13
4097	1	12
4098	3	11
4099	3	11
4100	3	11
4101	1	10
4102	1	12
4103	3	11
4104	3	12
4105	1	12
4106	1	12
4107	1	11
4108	1	12
4109	1	13
4110	1	12
4111	1	12
4112	3	12
4113	1	12
4114	1	12
4115	2	12
4116	3	12
4117	3	10
4118	1	12
4119	2	12
4120	3	12
4121	1	13
4122	2	12
4123	1	12
4124	2	11
4125	3	11
4126	3	11
4127	3	11
4128	3	11
4129	3	12
4130	3	11
4131	1	12
4132	3	12
4133	3	11
4134	3	11
4135	2	11
4136	3	11
4137	3	11
